person_id,from_date,to_date,store_id
1759190,2022-12-15,2022-12-31,1
1759190,2023-01-02,2023-01-14,1
1759191,2023-09-11,2023-09-19,1
1759194,2023-09-11,2023-09-30,1
1759199,2023-01-02,2023-01-14,1
1759199,2022-12-01,2022-12-31,1
1759203,2022-12-16,2022-12-31,1
1759203,2023-01-02,2023-01-14,1
1759207,2022-11-07,2023-02-15,1
1770558,2024-01-02,,1
1770558,2023-11-22,2023-12-30,1
1783676,2023-11-24,2023-12-30,1
1783676,2024-01-02,,1
1806913,2024-01-02,,1
1851175,2024-02-26,2024-04-08,1
1851176,2024-02-26,2024-04-08,1
1851177,2024-02-26,2024-04-05,1
1851177,2024-02-26,2024-04-05,1
1851178,2024-02-26,2024-03-09,1
1851178,2024-02-26,2024-03-09,1
1851630,2024-03-01,2024-04-08,1
1860422,2024-03-20,2024-04-08,1
1860423,2024-03-20,2024-04-08,1
1860424,2024-03-20,2024-04-08,1
1862035,2024-03-22,2024-04-08,1
1862036,2024-03-22,2024-04-08,1
1862037,2024-03-20,,1
1863257,2024-03-20,2024-04-08,1
1863258,2024-03-20,2024-04-08,1
1863533,2024-03-20,2024-04-08,1
1864339,2024-03-20,2024-04-08,1
1865113,2024-03-22,2024-04-08,1
1866208,2024-03-22,2024-04-04,1
1868445,2024-03-25,2024-04-08,1
1869831,2024-03-27,,1
665920,2016-05-02,,2
665923,2008-10-01,,2
665926,2008-10-01,,2
665928,2016-02-01,,2
665931,2021-04-01,2022-03-31,2
665934,2011-09-27,,2
665940,2015-07-01,2023-03-29,2
665942,2016-08-01,2022-11-27,2
665943,2021-06-26,2021-12-25,2
665944,2008-10-01,,2
665956,2023-07-01,,2
665956,2023-07-01,,2
665956,2016-10-24,2023-06-30,2
665963,2013-12-14,2023-07-05,2
665964,2021-08-09,2024-03-17,2
665965,2024-01-01,,2
665965,2014-08-11,2021-08-31,2
665965,2021-09-01,2023-12-31,2
665967,2021-06-29,2022-01-17,2
665967,2020-07-02,2020-08-01,2
665967,2021-05-29,2021-06-28,2
665973,2019-10-05,2020-01-15,2
665973,2021-09-17,2022-01-16,2
665976,2019-10-30,2020-03-15,2
665976,2021-09-17,2022-01-16,2
665976,2019-04-30,2019-09-23,2
665976,2020-07-02,2020-08-01,2
665976,2021-05-29,2021-09-16,2
665978,2015-10-19,,2
665979,2015-10-26,2023-06-30,2
665979,2023-07-01,,2
665981,2016-10-10,2023-06-29,2
665984,2014-04-14,,2
665994,2008-10-01,2019-10-22,2
665994,2020-09-23,,2
665996,2021-09-17,2022-01-16,2
665997,2008-10-01,2023-06-30,2
665997,2023-07-01,,2
872680,2014-11-03,2019-05-07,2
872680,2022-01-01,,2
872680,2019-11-15,2021-11-02,2
919208,2023-12-31,,2
919208,2016-03-21,2020-03-15,2
919208,2022-03-15,2022-12-30,2
1031417,2022-05-16,2022-05-17,2
1031417,2022-05-23,,2
1031418,2022-07-01,2022-08-01,2
1031419,2022-06-13,2022-09-12,2
1031420,2022-06-13,2022-09-12,2
1031420,2022-09-13,2022-11-06,2
1031420,2019-11-01,2020-01-18,2
1031421,2013-12-14,2023-01-15,2
1201829,2024-01-01,,2
1201829,2024-01-01,,2
1201829,2022-09-01,2023-12-31,2
1211253,2023-09-26,,2
1211253,2022-08-19,2023-05-16,2
1211253,2023-07-06,2023-09-25,2
1211253,2023-05-17,2023-07-05,2
1252106,2023-03-01,,2
1252106,2022-07-08,2022-12-13,2
1252106,2019-12-16,2020-01-16,2
1252106,2022-12-14,2023-01-07,2
1347383,2022-11-18,2023-05-31,2
1347386,2022-11-16,2023-03-11,2
1347386,2023-03-13,2023-03-25,2
1369298,2022-11-28,2023-01-14,2
1397107,2023-03-01,2023-05-01,2
1397361,2023-07-01,,2
1397361,2022-05-01,2022-06-30,2
1397382,2022-08-01,2022-08-31,2
1422332,2023-05-24,2023-06-30,2
1422332,2023-07-01,2023-09-25,2
1422332,2023-11-22,2023-12-30,2
1422333,2023-05-24,2023-06-30,2
1422333,2023-09-27,2023-12-30,2
1422333,2023-07-01,2023-09-25,2
1422333,2024-01-01,2024-01-11,2
1422334,2023-04-03,2024-01-02,2
1422334,2022-12-10,2023-01-04,2
1422334,2022-05-09,2022-12-09,2
1424366,2022-11-28,2022-12-31,2
1424366,2023-01-02,2023-01-14,2
1424366,2023-04-03,2023-09-30,2
1506586,2023-07-03,2023-09-30,2
1508429,2023-07-01,2023-09-25,2
1508429,2023-05-25,2023-06-30,2
1529073,2023-07-03,2023-10-20,2
1529075,2023-01-01,,2
1529075,2023-01-01,,2
1529075,2022-10-01,2022-12-31,2
1529075,2016-08-08,2021-08-31,2
1595955,2023-11-22,2023-12-06,2
1595956,2023-11-22,2023-12-06,2
1595958,2023-11-22,2023-12-06,2
1644352,2023-06-28,2023-09-22,2
1644352,2022-11-28,2022-12-31,2
1644352,2023-01-02,2023-01-14,2
1705641,2019-12-16,2020-01-31,2
1705654,2024-02-01,,2
1727011,2023-10-02,,2
1756413,2020-02-01,2021-08-31,2
1756908,2013-12-25,2020-12-13,2
1756908,2021-01-27,2022-04-27,2
1757637,2021-10-01,2021-10-01,2
1757637,2015-06-08,2020-09-27,2
1757658,2018-11-09,2019-01-08,2
1757659,2016-10-24,2022-05-31,2
1757660,2017-09-27,2018-01-26,2
1757661,2016-10-24,2018-04-30,2
1757663,2017-11-06,2018-01-05,2
1757666,2015-07-01,,2
1757668,2018-12-15,2019-01-14,2
1757671,2017-11-06,2018-02-05,2
1757672,2017-10-20,2017-12-19,2
1757675,2017-08-12,2018-02-11,2
1757676,2008-10-01,2018-11-14,2
1757681,2017-11-20,2017-12-12,2
1757683,2018-02-01,2018-06-30,2
1757686,2017-06-14,2017-12-13,2
1757689,2019-05-02,2020-03-25,2
1757691,2017-10-18,2018-01-03,2
1757693,2015-08-13,2018-11-14,2
1757698,2019-05-27,2019-06-03,2
1757701,2018-12-15,2019-01-14,2
1757705,2018-11-09,2019-01-08,2
1757710,2018-11-02,2019-01-10,2
1757715,2010-10-28,2018-11-14,2
1757719,2019-08-05,2019-10-04,2
1757719,2019-12-16,2020-01-16,2
1757728,2017-06-22,2017-12-21,2
1757731,2017-09-07,2018-01-06,2
1757735,2014-07-11,2019-09-21,2
1757735,2021-11-03,2021-11-03,2
1757739,2020-07-02,2020-08-01,2
1757739,2019-06-11,2019-12-10,2
1757745,2019-12-16,2020-01-16,2
1757750,2019-12-16,2020-01-16,2
1757753,2022-09-13,2022-11-06,2
1757758,2019-12-16,2020-01-16,2
1757760,2019-11-01,2020-01-18,2
1757762,2019-12-16,2020-01-16,2
1757766,2022-07-01,2022-07-02,2
1757771,2019-10-05,2020-01-15,2
1757773,2019-11-24,2020-10-08,2
1757773,2019-05-24,2019-09-21,2
1757775,2019-05-02,2019-09-28,2
1757779,2022-11-28,2022-12-31,2
1757785,2022-11-28,2022-12-31,2
1757785,2023-01-02,2023-01-14,2
1757790,2021-09-03,2021-09-12,2
1757792,2022-09-13,2022-11-06,2
1757797,2021-07-01,2021-08-04,2
